w[0],w[1],w[2],w[3],b,count
0.000000,0.000000,0.000000,0.000000,0.000000,2
-6.200300,8.680600,0.009134,-3.703000,1.000000,3
-8.683300,2.065100,0.802004,-2.794370,0.000000,1
-8.255000,1.115290,-0.271096,-2.473270,1.000000,2
-8.912670,-1.686510,3.440404,-1.475880,2.000000,7
-7.551470,-12.380510,1.738204,1.426720,1.000000,1
-12.581170,-7.410110,-1.764296,1.664230,0.000000,2
-11.131070,-3.803411,-5.819995,0.067630,1.000000,18
-14.489270,-11.043810,5.621905,-0.503500,2.000000,3
-15.085140,-8.562710,2.754605,-1.401780,3.000000,6
-14.789940,-3.677110,-2.394395,-7.634080,4.000000,8
-15.309440,-0.413810,-5.483895,-6.649180,3.000000,3
-12.661539,-10.551209,-4.152895,-1.178480,2.000000,8
-12.599014,-7.621109,-7.699595,-3.852180,3.000000,8
-11.008615,-5.409009,-10.817896,-3.969430,4.000000,6
-11.944485,-10.509809,-6.281196,-2.582830,5.000000,4
-13.997385,-6.671309,-7.076636,-3.796630,6.000000,44
-12.977985,-5.568409,-9.376637,-3.202680,7.000000,29
-10.330086,-15.705809,-8.045636,2.268020,6.000000,6
-9.363006,-11.863209,-12.977036,-1.864280,7.000000,2
-12.593506,-19.076710,-1.333735,-2.810410,8.000000,3
-12.583844,-15.515510,-5.740736,-7.220710,9.000000,30
-10.796344,-10.735510,-10.876936,-10.456910,10.000000,3
-9.496344,-21.003311,-7.923936,-4.593110,9.000000,3
-13.721243,-14.733412,-7.765716,-10.138810,10.000000,28
-18.045143,-9.849912,-11.201316,-9.561211,9.000000,24
-17.830833,-10.545201,-10.324205,-9.264681,10.000000,19
-18.160034,-6.090001,-14.896006,-8.275881,9.000000,4
-19.964634,-12.904100,-8.194105,-7.107781,10.000000,43
-19.803555,-6.441700,-16.551405,-5.586181,9.000000,11
-20.502344,-9.818800,-12.430305,-4.081881,10.000000,10
-20.472126,-10.870000,-11.027905,-3.308191,11.000000,40
-20.991596,-7.606700,-14.117405,-2.323271,10.000000,9
-22.932497,-16.291500,-4.962405,-1.382781,11.000000,4
-23.203176,-13.024100,-8.518605,-4.471581,12.000000,8
-22.558456,-8.417900,-16.865604,-1.761681,11.000000,19
-20.540756,-6.619700,-19.823704,-1.551781,12.000000,4
-22.312056,-17.386200,-9.605304,-2.556081,13.000000,42
-22.068115,-15.912900,-11.024504,-3.141431,14.000000,11
-21.386314,-11.062500,-16.237804,-9.245730,15.000000,13
-23.923615,-18.021500,-7.432405,-7.716830,16.000000,7
-21.132214,-19.794899,-14.208004,-7.317680,15.000000,8
-21.837914,-14.296799,-22.544804,-4.446180,14.000000,11
-26.693314,-20.200499,-11.563004,-5.268170,15.000000,4
-27.022554,-15.745298,-16.134804,-4.279370,14.000000,59
-24.828255,-11.194998,-21.110804,-7.004770,15.000000,3
-29.949856,-16.506798,-10.726204,-8.065970,16.000000,9
-28.368856,-15.637708,-13.040004,-7.241850,17.000000,10
-28.888357,-12.374408,-16.129503,-6.256950,16.000000,13
-27.029957,-20.260408,-14.465203,-4.418550,15.000000,1
-25.522257,-18.300808,-17.523603,-4.540980,16.000000,154
-23.789156,-14.346408,-22.264803,-7.042680,17.000000,27
-28.077856,-22.209707,-10.426103,-8.940480,18.000000,1
-27.173786,-18.838907,-14.924803,-12.636980,19.000000,3
-25.684187,-15.410107,-18.955704,-14.062880,20.000000,42
-25.307817,-16.233686,-18.170273,-13.317639,21.000000,25
-23.276817,-14.381686,-21.182373,-13.314636,22.000000,10
-23.796318,-11.118386,-24.271873,-12.329737,21.000000,4
-25.384018,-17.725586,-18.469673,-12.013806,22.000000,124
-23.366318,-15.927386,-21.427773,-11.803906,23.000000,8
-22.579418,-25.493687,-17.641073,-4.300507,22.000000,4
-24.741018,-18.613287,-25.792774,-4.219459,21.000000,11
-29.374819,-31.364187,-9.076174,-7.436258,22.000000,2
-30.493618,-28.028488,-10.421674,-9.393559,23.000000,14
-31.013088,-24.765188,-13.511173,-8.408638,22.000000,1
-30.368368,-20.158989,-21.858173,-5.698738,21.000000,16
-30.887869,-16.895689,-24.947674,-4.713838,20.000000,9
-32.598270,-21.673689,-18.736774,-4.316438,21.000000,27
-30.206570,-17.117189,-23.725574,-7.215138,22.000000,8
-33.902668,-30.795090,-6.146074,-9.833239,23.000000,4
-32.838966,-27.099390,-10.305474,-11.771138,24.000000,39
-31.630966,-23.024990,-15.068974,-14.384038,25.000000,40
-33.452568,-16.550190,-23.120375,-13.965488,24.000000,13
-33.076199,-17.373770,-22.334944,-13.220248,25.000000,48
-33.733868,-20.175570,-18.623444,-12.222858,26.000000,16
-32.053967,-15.968769,-23.163244,-14.615958,27.000000,4
-32.573467,-12.705469,-26.252745,-13.631058,26.000000,11
-36.141567,-20.918468,-16.169744,-12.663407,27.000000,56
-33.493668,-31.055868,-14.838744,-7.192708,26.000000,5
-32.004066,-27.627068,-18.869644,-8.618608,27.000000,42
-29.809767,-23.076767,-23.845644,-11.344007,28.000000,79
-29.022867,-32.643066,-20.058945,-3.840608,27.000000,4
-30.792568,-29.210167,-21.273344,-6.219508,28.000000,6
-29.059467,-25.255768,-26.014544,-8.721208,29.000000,15
-29.388708,-20.800568,-30.586344,-7.732408,28.000000,14
-31.680508,-28.057568,-22.626644,-6.811307,29.000000,105
-31.519428,-21.595167,-30.983944,-5.289707,28.000000,4
-33.187130,-28.748667,-23.091043,-4.322057,29.000000,41
-31.679430,-26.789066,-26.149443,-4.444487,30.000000,57
-32.008629,-22.333866,-30.721243,-3.455687,29.000000,1
-36.219627,-34.807465,-15.750843,-4.844087,30.000000,9
-43.261726,-25.607464,-15.491513,-9.527287,31.000000,66
-42.206528,-24.421764,-18.132614,-9.416957,32.000000,24
-40.698830,-22.462164,-21.191013,-9.539387,33.000000,6
-39.209229,-19.033363,-25.221912,-10.965286,34.000000,18
-38.422329,-28.599663,-21.435213,-3.461886,33.000000,11
-38.941830,-25.336363,-24.524714,-2.476986,32.000000,61
-38.780750,-18.873962,-32.882011,-0.955386,31.000000,10
-42.011250,-26.087463,-21.238712,-1.901516,32.000000,12
-40.659451,-25.027964,-23.582413,-1.501536,33.000000,19
-39.451450,-20.953564,-28.345913,-4.114436,34.000000,6
-42.720650,-33.694164,-12.788613,-4.256256,35.000000,12
-42.270031,-32.326363,-19.874413,-3.853226,34.000000,21
-39.878330,-27.769863,-24.863213,-6.751926,35.000000,3
